timestamp,relative_humidity
2017-06-15 04:58:54,79.0
2017-06-15 05:28:55,77.0
2017-06-15 05:58:54,73.4
2017-06-15 06:28:54,72.9
2017-06-15 06:58:53,70.0
2017-06-15 07:28:51,66.1
2017-06-15 07:58:53,64.2
2017-06-15 08:28:51,55.8
2017-06-15 08:58:52,49.3
2017-06-15 09:28:54,42.9
2017-06-15 09:58:54,41.6
2017-06-15 10:28:54,43.5
2017-06-15 10:58:52,54.1
2017-06-15 11:28:54,54.8
2017-06-15 11:58:54,54.2
2017-06-15 12:28:54,49.7
2017-06-15 12:58:54,42.6
2017-06-15 13:28:54,38.7
2017-06-15 13:58:54,40.9
2017-06-15 14:28:53,36.0
2017-06-15 14:58:54,34.9
2017-06-15 15:28:54,33.5
2017-06-15 15:58:54,31.9
2017-06-15 16:28:54,32.3
2017-06-15 16:58:54,30.6
2017-06-15 17:28:54,33.3
2017-06-15 17:58:52,34.5
2017-06-15 18:28:52,31.7
2017-06-15 18:58:51,30.3
2017-06-15 19:28:53,32.4
2017-06-15 19:58:54,34.0
2017-06-15 20:28:54,39.4
2017-06-15 20:58:54,44.3
2017-06-15 21:28:54,47.8
2017-06-15 21:58:53,54.2
2017-06-15 22:28:54,58.6
2017-06-15 22:58:53,61.5
2017-06-15 23:28:53,63.9
2017-06-15 23:58:54,69.0
2017-06-16 00:28:54,73.2
2017-06-16 00:58:54,74.9
2017-06-16 01:28:53,75.5
2017-06-16 01:58:54,77.5
2017-06-16 02:28:55,78.5
2017-06-16 02:58:54,76.3
2017-06-16 03:28:53,78.0
2017-06-16 03:58:54,79.3
2017-06-16 04:28:54,81.2
2017-06-16 04:58:52,81.9
2017-06-16 05:28:54,80.7
2017-06-16 05:58:54,77.1
2017-06-16 06:28:54,75.1
2017-06-16 06:58:53,71.2
2017-06-16 07:28:54,66.7
2017-06-16 07:58:54,62.1
2017-06-16 08:28:54,56.6
2017-06-16 08:58:53,54.5
2017-06-16 09:28:54,53.4
2017-06-16 09:58:53,53.4
2017-06-16 10:28:54,55.0
2017-06-16 10:58:54,55.9
2017-06-16 11:28:53,54.3
2017-06-16 11:58:54,50.0
2017-06-16 12:28:54,46.3
2017-06-16 12:58:54,42.8
2017-06-16 13:28:53,41.2
2017-06-16 13:58:54,43.3
2017-06-16 14:28:52,44.4
2017-06-16 14:58:48,41.5
2017-06-16 15:28:54,45.5
2017-06-16 15:58:54,51.4
2017-06-16 16:28:49,49.4
2017-06-16 16:58:54,43.5
2017-06-16 17:28:55,41.4
2017-06-16 17:58:53,43.2
2017-06-16 18:28:54,39.0
2017-06-16 18:58:54,37.8
2017-06-16 19:28:51,45.8
2017-06-16 19:58:54,45.2
2017-06-16 20:28:54,39.5
2017-06-16 20:58:53,39.2
2017-06-16 21:28:55,45.8
2017-06-16 21:58:53,48.4
2017-06-16 22:28:54,52.0
2017-06-16 22:58:49,57.4
2017-06-16 23:28:54,58.7
2017-06-16 23:58:53,63.2
2017-06-17 00:28:54,68.1
2017-06-17 00:58:54,74.0
2017-06-17 01:28:55,74.9
2017-06-17 01:58:54,76.6
2017-06-17 02:28:53,78.5
2017-06-17 02:58:54,78.0
2017-06-17 03:28:54,78.5
2017-06-17 03:58:54,79.0
2017-06-17 04:28:54,79.6
2017-06-17 04:58:55,81.9
2017-06-17 05:28:55,81.3
2017-06-17 05:58:54,82.3
2017-06-17 06:28:54,82.4
2017-06-17 06:58:54,79.7
2017-06-17 07:28:53,75.4
2017-06-17 07:58:53,73.2
2017-06-17 08:28:54,68.1
2017-06-17 08:58:53,67.4
2017-06-17 09:28:54,63.3
2017-06-17 09:58:54,54.8
2017-06-17 10:28:53,51.5
2017-06-17 10:58:54,43.1
2017-06-17 11:28:49,47.9
2017-06-17 11:58:54,51.3
2017-06-17 12:28:54,49.5
2017-06-17 12:58:54,99.9
2017-06-17 13:28:54,99.9
2017-06-17 13:58:53,67.4
2017-06-17 14:28:53,51.9
2017-06-17 14:58:54,45.7
2017-06-17 15:28:54,41.8
2017-06-17 15:58:54,33.4
2017-06-17 16:28:53,40.0
2017-06-17 16:58:53,31.3
2017-06-17 17:28:54,35.7
2017-06-17 17:58:54,41.0
2017-06-17 18:28:51,40.1
2017-06-17 18:58:54,36.2
2017-06-17 19:28:54,34.3
2017-06-17 19:58:54,38.9
2017-06-17 20:28:54,37.6
2017-06-17 20:58:54,39.7
2017-06-17 21:28:53,41.3
2017-06-17 21:58:51,40.4
2017-06-17 22:28:52,43.0
2017-06-17 22:58:51,45.2
2017-06-17 23:28:53,48.2
2017-06-17 23:58:53,49.4
2017-06-18 00:28:54,51.0
2017-06-18 00:58:53,47.9
2017-06-18 01:28:54,49.9
2017-06-18 01:58:53,55.4
2017-06-18 02:28:54,58.0
2017-06-18 02:58:55,60.1
2017-06-18 03:28:54,61.4
2017-06-18 03:58:54,63.3
2017-06-18 04:28:54,65.6
2017-06-18 04:58:54,66.2
2017-06-18 05:28:54,68.5
2017-06-18 05:58:53,66.5
2017-06-18 06:28:54,66.1
2017-06-18 06:58:54,68.8
2017-06-18 07:28:53,77.2
2017-06-18 07:58:54,76.2
2017-06-18 08:28:54,78.9
2017-06-18 08:58:54,76.1
2017-06-18 09:28:54,75.2
2017-06-18 09:58:54,73.8
2017-06-18 10:28:51,74.8
2017-06-18 10:58:51,75.7
2017-06-18 11:28:53,71.1
2017-06-18 11:58:54,74.4
2017-06-18 12:28:53,70.1
2017-06-18 12:58:54,69.2
2017-06-18 13:28:54,64.6
2017-06-18 13:58:54,65.6
2017-06-18 14:28:54,64.1
2017-06-18 14:58:54,59.4
2017-06-18 15:28:55,56.9
2017-06-18 15:58:52,56.6
2017-06-18 16:28:54,62.5
2017-06-18 16:58:54,65.6
2017-06-18 17:28:53,65.8
2017-06-18 17:58:54,68.2
2017-06-18 18:28:54,66.8
