timestamp,temperature_in_celsius
2017-06-11 16:50:38,18.8
2017-06-11 17:20:39,18.4
2017-06-11 17:50:39,18.2
2017-06-11 18:20:38,19.1
2017-06-11 18:50:38,19.1
2017-06-11 19:20:38,19.1
2017-06-11 19:50:39,19.4
2017-06-11 20:20:36,19.3
2017-06-11 20:50:39,19.4
2017-06-11 21:20:39,19.2
2017-06-11 21:59:46,19.1
2017-06-11 23:01:09,19.4
2017-06-11 23:31:09,19.1
2017-06-12 00:01:07,20.8
2017-06-12 00:31:09,21.4
2017-06-12 01:01:10,21.7
2017-06-12 01:31:09,21.9
2017-06-12 02:01:09,22.1
2017-06-12 02:31:10,22.2
2017-06-12 03:01:08,22.4
2017-06-12 03:31:07,22.5
2017-06-12 04:01:09,22.6
2017-06-12 04:31:09,22.6
2017-06-12 05:01:09,22.7
2017-06-12 05:31:09,22.8
2017-06-12 06:01:09,22.8
2017-06-12 06:31:09,22.8
2017-06-12 07:01:08,22.9
2017-06-12 07:31:10,22.8
2017-06-12 08:01:10,22.8
2017-06-12 08:31:09,22.8
2017-06-12 09:01:09,22.8
2017-06-12 09:31:09,22.8
2017-06-12 10:01:10,22.8
2017-06-12 10:31:07,22.8
2017-06-12 11:01:09,22.8
2017-06-12 11:31:10,22.7
2017-06-12 12:01:10,22.7
2017-06-12 12:31:09,22.7
2017-06-12 13:01:10,22.7
2017-06-12 13:31:09,22.7
2017-06-12 14:01:10,22.7
2017-06-12 14:31:09,22.7
2017-06-12 15:01:10,22.7
2017-06-12 15:31:09,22.8
2017-06-12 16:01:09,22.7
2017-06-12 16:31:07,22.8
2017-06-12 17:01:10,22.8
2017-06-12 17:31:08,22.8
2017-06-12 18:01:09,20.8
2017-06-12 18:31:09,18.5
2017-06-12 19:01:09,17.9
2017-06-12 19:31:08,19.6
2017-06-12 20:01:09,18.4
2017-06-12 20:31:10,18.2
2017-06-12 21:01:09,18.2
2017-06-12 21:31:10,18.2
2017-06-12 22:01:09,18.5
2017-06-12 22:31:09,18.5
2017-06-12 23:01:09,18.6
2017-06-12 23:31:10,19.9
2017-06-13 00:01:10,20.4
2017-06-13 00:31:09,20.8
2017-06-13 01:01:10,21.1
2017-06-13 01:31:08,21.3
2017-06-13 02:01:09,21.5
2017-06-13 02:31:09,21.6
2017-06-13 03:01:09,21.7
2017-06-13 03:31:09,21.7
2017-06-13 04:01:09,21.8
2017-06-13 04:31:09,21.8
2017-06-13 05:01:09,21.8
2017-06-13 05:31:09,21.9
2017-06-13 06:01:09,21.9
2017-06-13 06:31:10,21.9
2017-06-13 07:01:07,21.8
2017-06-13 07:31:09,21.6
2017-06-13 08:01:09,21.5
2017-06-13 08:31:10,21.4
2017-06-13 09:01:09,21.4
2017-06-13 09:31:09,19.9
2017-06-13 10:01:10,17.8
2017-06-13 10:31:10,17.4
2017-06-13 11:01:09,17.2
2017-06-13 11:31:09,17.1
2017-06-13 12:01:09,17.2
2017-06-13 12:31:09,17.2
2017-06-13 13:01:09,17.5
2017-06-13 13:31:09,17.5
2017-06-13 14:01:10,17.2
2017-06-13 14:31:08,19.3
2017-06-13 15:01:10,18.0
2017-06-13 15:31:09,18.5
2017-06-13 16:01:09,19.6
2017-06-13 16:31:04,17.3
2017-06-13 17:01:07,16.9
2017-06-13 17:31:10,16.6
2017-06-13 18:01:09,16.4
2017-06-13 18:31:10,18.2
2017-06-13 20:19:28,17.7
2017-06-13 20:49:27,19.5
2017-06-13 21:19:30,18.1
2017-06-13 21:58:54,19.1
2017-06-13 22:28:53,20.0
2017-06-13 22:58:55,19.0
2017-06-13 23:28:51,17.3
2017-06-13 23:58:55,18.8
2017-06-14 00:28:54,19.4
2017-06-14 00:58:54,19.8
2017-06-14 01:28:54,20.1
2017-06-14 01:58:53,20.3
2017-06-14 02:28:53,20.5
2017-06-14 02:58:52,20.6
2017-06-14 03:28:47,20.6
2017-06-14 03:58:53,20.6
2017-06-14 04:28:53,20.7
2017-06-14 04:58:52,20.7
2017-06-14 05:28:54,20.7
2017-06-14 05:58:54,20.8
2017-06-14 06:28:54,20.7
2017-06-14 06:58:54,20.7
2017-06-14 07:28:51,20.5
2017-06-14 07:58:53,20.4
2017-06-14 08:28:54,20.4
2017-06-14 08:58:52,20.4
2017-06-14 09:28:54,20.5
2017-06-14 09:58:51,20.6
2017-06-14 10:28:54,20.6
2017-06-14 10:58:53,20.7
2017-06-14 11:28:54,20.8
2017-06-14 11:58:54,20.8
2017-06-14 12:28:54,20.9
2017-06-14 12:58:54,20.9
2017-06-14 13:28:53,21.0
2017-06-14 13:58:54,21.1
2017-06-14 14:28:51,21.2
2017-06-14 14:58:55,21.3
2017-06-14 15:28:53,21.4
2017-06-14 15:58:54,21.5
2017-06-14 16:28:54,21.6
2017-06-14 16:58:54,21.7
2017-06-14 17:28:51,21.8
2017-06-14 17:58:53,21.9
2017-06-14 18:28:54,18.6
2017-06-14 18:58:47,17.9
2017-06-14 19:28:54,18.9
2017-06-14 19:58:55,20.5
2017-06-14 20:28:54,19.8
2017-06-14 20:58:54,17.9
2017-06-14 21:28:53,17.5
2017-06-14 21:58:54,17.7
2017-06-14 22:28:54,17.7
2017-06-14 22:58:53,17.6
2017-06-14 23:28:52,18.2
2017-06-14 23:58:54,18.2
2017-06-15 00:28:54,18.2
2017-06-15 00:58:48,19.9
2017-06-15 01:28:54,20.4
2017-06-15 01:58:53,20.7
2017-06-15 02:28:52,21.0
2017-06-15 02:58:53,21.1
2017-06-15 03:28:55,21.3
2017-06-15 03:58:54,21.3
2017-06-15 04:28:51,21.4
2017-06-15 04:58:54,21.4
2017-06-15 05:28:55,21.4
2017-06-15 05:58:54,21.4
